epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,34.1741,2.31461,1.08916,0.8649,0.61087,0.65093,0.61673,0.24992,2.26645,1.09802,0.90601,0.0007229,0.0007229,0.0007229
131,34.4183,2.23531,1.06268,0.94111,0.61087,0.65093,0.61673,0.24992,2.26645,1.09802,0.90601,0.000713,0.000713,0.000713
132,34.6366,2.39204,1.08889,0.85151,0.64913,0.68634,0.64487,0.25602,2.24875,1.05188,0.90197,0.0007031,0.0007031,0.0007031
133,34.863,2.6856,1.20267,0.86161,0.64913,0.68634,0.64487,0.25602,2.24875,1.05188,0.90197,0.0006932,0.0006932,0.0006932
134,35.0667,2.22616,1.06472,0.84989,0.64913,0.68634,0.64487,0.25602,2.24875,1.05188,0.90197,0.0006833,0.0006833,0.0006833
135,35.2604,2.14379,1.03477,0.93019,0.64913,0.68634,0.64487,0.25602,2.24875,1.05188,0.90197,0.0006734,0.0006734,0.0006734
136,35.5089,2.95594,1.20398,0.84804,0.67863,0.65093,0.63986,0.2527,2.27386,1.02847,0.90406,0.0006635,0.0006635,0.0006635
137,35.7063,2.51571,1.07728,0.87814,0.67863,0.65093,0.63986,0.2527,2.27386,1.02847,0.90406,0.0006536,0.0006536,0.0006536
138,35.9119,2.35194,1.05949,0.86655,0.67863,0.65093,0.63986,0.2527,2.27386,1.02847,0.90406,0.0006437,0.0006437,0.0006437
139,36.1106,2.24382,1.08786,0.8915,0.67863,0.65093,0.63986,0.2527,2.27386,1.02847,0.90406,0.0006338,0.0006338,0.0006338
140,36.3239,2.57459,1.11891,0.8592,0.67599,0.65936,0.65394,0.2641,2.23883,1.01279,0.89867,0.0006239,0.0006239,0.0006239
141,36.5245,2.27932,1.06248,0.87141,0.67599,0.65936,0.65394,0.2641,2.23883,1.01279,0.89867,0.000614,0.000614,0.000614
142,36.7524,2.30322,1.02064,0.88105,0.67599,0.65936,0.65394,0.2641,2.23883,1.01279,0.89867,0.0006041,0.0006041,0.0006041
143,36.9617,2.42733,1.05945,0.85757,0.67599,0.65936,0.65394,0.2641,2.23883,1.01279,0.89867,0.0005942,0.0005942,0.0005942
144,37.1809,2.48355,1.09624,0.86847,0.68361,0.67622,0.67883,0.28882,2.14583,0.99813,0.89112,0.0005843,0.0005843,0.0005843
145,37.3802,2.08511,0.96671,0.8622,0.68361,0.67622,0.67883,0.28882,2.14583,0.99813,0.89112,0.0005744,0.0005744,0.0005744
146,37.593,2.10941,0.99559,0.89743,0.68361,0.67622,0.67883,0.28882,2.14583,0.99813,0.89112,0.0005645,0.0005645,0.0005645
147,37.798,1.82166,0.95626,0.8954,0.68361,0.67622,0.67883,0.28882,2.14583,0.99813,0.89112,0.0005546,0.0005546,0.0005546
148,38.0275,2.38437,1.06434,0.87445,0.69785,0.68971,0.69497,0.30716,2.07952,1.00187,0.88292,0.0005447,0.0005447,0.0005447
149,38.2321,2.10883,0.96522,0.85974,0.69785,0.68971,0.69497,0.30716,2.07952,1.00187,0.88292,0.0005348,0.0005348,0.0005348
150,38.4527,2.35302,1.07186,0.86005,0.69785,0.68971,0.69497,0.30716,2.07952,1.00187,0.88292,0.0005249,0.0005249,0.0005249
151,38.6593,2.15024,0.99367,0.88701,0.69785,0.68971,0.69497,0.30716,2.07952,1.00187,0.88292,0.000515,0.000515,0.000515
152,38.8924,2.8652,1.16259,0.84669,0.69811,0.70658,0.71356,0.32227,2.05135,1.01016,0.87884,0.0005051,0.0005051,0.0005051
153,39.0923,2.38634,1.06054,0.8398,0.69811,0.70658,0.71356,0.32227,2.05135,1.01016,0.87884,0.0004952,0.0004952,0.0004952
154,39.2917,2.04274,1.00817,0.90468,0.69811,0.70658,0.71356,0.32227,2.05135,1.01016,0.87884,0.0004853,0.0004853,0.0004853
155,39.5139,2.65238,1.11598,0.82969,0.69811,0.70658,0.71356,0.32227,2.05135,1.01016,0.87884,0.0004754,0.0004754,0.0004754
156,39.7262,2.01115,0.98693,0.88834,0.70524,0.70658,0.71301,0.32368,2.04426,1.01064,0.87847,0.0004655,0.0004655,0.0004655
157,39.9258,2.34576,1.08411,1.02043,0.70524,0.70658,0.71301,0.32368,2.04426,1.01064,0.87847,0.0004556,0.0004556,0.0004556
158,40.1525,2.53769,1.10534,0.85455,0.70524,0.70658,0.71301,0.32368,2.04426,1.01064,0.87847,0.0004457,0.0004457,0.0004457
159,40.4345,2.51498,1.10611,0.87692,0.70524,0.70658,0.71301,0.32368,2.04426,1.01064,0.87847,0.0004358,0.0004358,0.0004358
160,40.6502,2.22828,1.02962,0.89284,0.70795,0.69901,0.71731,0.32387,2.01621,1.00519,0.87653,0.0004259,0.0004259,0.0004259
161,40.8652,2.27511,1.03353,0.87409,0.70795,0.69901,0.71731,0.32387,2.01621,1.00519,0.87653,0.000416,0.000416,0.000416
162,41.0799,2.27068,1.06859,0.93346,0.70795,0.69901,0.71731,0.32387,2.01621,1.00519,0.87653,0.0004061,0.0004061,0.0004061
163,41.3083,2.51007,1.1103,0.88185,0.70795,0.69901,0.71731,0.32387,2.01621,1.00519,0.87653,0.0003962,0.0003962,0.0003962
164,41.531,2.28396,1.02608,0.86238,0.71483,0.70658,0.7279,0.32451,2.01505,0.99756,0.87656,0.0003863,0.0003863,0.0003863
165,41.751,1.88544,0.93563,0.86857,0.71483,0.70658,0.7279,0.32451,2.01505,0.99756,0.87656,0.0003764,0.0003764,0.0003764
166,41.9832,2.7351,1.0909,0.8394,0.71483,0.70658,0.7279,0.32451,2.01505,0.99756,0.87656,0.0003665,0.0003665,0.0003665
167,42.1862,2.16996,1.04778,0.92747,0.71483,0.70658,0.7279,0.32451,2.01505,0.99756,0.87656,0.0003566,0.0003566,0.0003566
168,42.4144,2.24053,1.02266,0.88874,0.71885,0.7071,0.73218,0.32316,2.01194,0.99161,0.87621,0.0003467,0.0003467,0.0003467
169,42.636,2.3845,1.0422,0.85752,0.71885,0.7071,0.73218,0.32316,2.01194,0.99161,0.87621,0.0003368,0.0003368,0.0003368
170,42.838,1.99234,0.99158,0.87542,0.71885,0.7071,0.73218,0.32316,2.01194,0.99161,0.87621,0.0003269,0.0003269,0.0003269
171,43.0471,2.34988,1.04795,0.87744,0.71885,0.7071,0.73218,0.32316,2.01194,0.99161,0.87621,0.000317,0.000317,0.000317
172,43.2567,2.78262,1.12376,0.86467,0.72228,0.71048,0.73483,0.33425,1.97641,0.98108,0.87365,0.0003071,0.0003071,0.0003071
173,43.4564,1.93119,0.94649,0.89459,0.72228,0.71048,0.73483,0.33425,1.97641,0.98108,0.87365,0.0002972,0.0002972,0.0002972
174,43.6576,1.92586,0.94429,0.90072,0.72228,0.71048,0.73483,0.33425,1.97641,0.98108,0.87365,0.0002873,0.0002873,0.0002873
175,43.8858,2.61279,1.09159,0.85313,0.72228,0.71048,0.73483,0.33425,1.97641,0.98108,0.87365,0.0002774,0.0002774,0.0002774
